Date,PostCount
2012-04-03,1084
2012-04-02,1184
2012-04-01,619
2012-03-31,376
2012-03-30,382
2012-03-29,540
2012-03-28,487
2012-03-27,934
2012-03-26,598
2012-03-25,556
2012-03-24,232
2012-03-23,437
2012-03-22,1389
2012-03-21,1108
2012-03-20,1187
2012-03-19,934
2012-03-18,774
2012-03-17,1080
2012-03-16,428
2012-03-15,1306
2012-03-14,1339
2012-03-13,1332
2012-03-12,1672
2012-03-11,1281
2012-03-10,1832
2012-03-09,794
2012-03-08,1059
2012-03-07,574
2012-03-06,1089
2012-03-05,366
2012-03-04,90
2012-03-03,212
2012-03-02,482
2012-03-01,499
2012-02-29,454
2012-02-28,931
2012-02-27,329
2012-02-26,246
2012-02-25,309
2012-02-24,317
2012-02-23,612
2012-02-22,1022
2012-02-21,807
2012-02-20,1708
2012-02-19,510
2012-02-18,122
2012-02-17,652
2012-02-16,1173
2012-02-15,1193
2012-02-14,1098
2012-02-13,722
2012-02-12,153
2012-02-11,927
2012-02-10,1268
2012-02-09,860
2012-02-08,749
2012-02-07,941
2012-02-06,1402
2012-02-05,1695
2012-02-04,964
2012-02-03,1054
2012-02-02,1232
2012-02-01,1211
2012-01-31,1410
2012-01-30,1725
2012-01-29,1674
2012-01-28,1031
2012-01-27,270
2012-01-26,999
2012-01-25,1799
2012-01-24,1030
2012-01-23,1817
2012-01-22,963
2012-01-21,666
2012-01-20,481
2012-01-19,446
2012-01-18,756
2012-01-17,1241
2012-01-16,1497
2012-01-15,698
2012-01-14,755
2012-01-13,946
2012-01-12,904
2012-01-11,1057
2012-01-10,1494
2012-01-09,802
2012-01-08,664
2012-01-07,1073
2012-01-06,1046
2012-01-05,648
2012-01-04,1388
2012-01-03,1677
2012-01-02,1522
2012-01-01,909
2011-12-31,788
2011-12-30,182
2011-12-29,971
2011-12-28,837
2011-12-27,1156
2011-12-26,317
2011-12-25,263
